medicine_id,brand_name,generic_name,active_ingredient,strength,dosage_form,pack_size,manufacturer,price,price_effective_date,registration_number,drap_source_url,last_verified,data_status,medicine_category
MED094,Cefinig,Ceftriaxone,Ceftriaxone,250mg,Injection,1 Vial,HONIG PHARMACEUTICALS LABORATORIES DML: 000550,172.31,"01 Jul, 2024",50759,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED095,Traxon Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,GlaxoSmithKline Pakistan Limited DML: 000248,175.19,"23 Jul, 2026",89165,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED096,Traxon Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,GlaxoSmithKline Pakistan Limited DML: 000248,194.77,"23 Jul, 2026",17891,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED097,Fortexone Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,Lucky Core Industries Limited DML: 000363,219.42,"22 Jul, 2026",26159,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED098,FortexoneInjection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,Lucky Core Industries Limited DML: 000363,203.62,"22 Jul, 2026",20272,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED099,Novosef IM Inj. Ceftriaxone Sodium 0.,Ceftriaxone,Ceftriaxone,25g,Injection,1 Vial,Himont Pharmaceuticals (Pvt.) Ltd. DML: 000231,254.04,"27 Jul, 2026",21699,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED100,Novosef IV Inj. Ceftriaxone Sodium 0.,Ceftriaxone,Ceftriaxone,25g,Injection,1 Vial,Himont Pharmaceuticals (Pvt.) Ltd. DML: 000231,254.04,"27 Jul, 2026",21700,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED101,Titan Inj. IM IV Ceftriaxone,Ceftriaxone,Ceftriaxone,2g,Injection,1,Macter International Limited DML: 000141,959.73,"23 Jul, 2026",75825,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED102,Biotraxone,Ceftriaxone,Ceftriaxone,2g,Injection,1’s,Biogen Pharma DML: 000639,855.36,"04 Sep, 2025",117618,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED103,Fortexone Injection,Ceftriaxone,Ceftriaxone,2g,Injection,1's,Lucky Core Industries Limited DML: 000363,926.92,"22 Jul, 2026",84196,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED104,Ceftriaxone (as Sodium),Ceftriaxone,Ceftriaxone,500mg,Injection,1's,Pharma Lord (Pvt) Ltd DML: 000774,346.15,"27 Jul, 2026",86387,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED105,Tefno Injection,Ceftriaxone,Ceftriaxone,500mg,Injection,1's,The Searle Company Limited DML: 000647,351.11,"23 Jul, 2026",90324,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED106,Tefno Injection,Ceftriaxone,Ceftriaxone,500mg,Injection,1's,The Searle Company Limited DML: 000647,351.11,"23 Jul, 2026",62439,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED107,Ceftriaxone (as Sodium),Ceftriaxone,Ceftriaxone,500mg,Injection,1's,Pharma Lord (Pvt) Ltd DML: 000774,346.15,"27 Jul, 2026",86387,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED108,Tefno Injection,Ceftriaxone,Ceftriaxone,500mg,Injection,1's,The Searle Company Limited DML: 000647,351.11,"23 Jul, 2026",90324,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED109,Tefno Injection,Ceftriaxone,Ceftriaxone,500mg,Injection,1's,The Searle Company Limited DML: 000647,351.11,"23 Jul, 2026",62439,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED110,Uneek Injection Ceftriaxone Sodium,Ceftriaxone,Ceftriaxone,500mg,Injection,1,NAVEGAL LABORATORIES DML: 000591,313.92,"30 Jul, 2026",53219,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED111,Titan Inj. IM IV Ceftriaxone,Ceftriaxone,Ceftriaxone,500mg,Injection,1,Macter International Limited DML: 000141,330.45,"23 Jul, 2026",21742,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED112,Cefinig,Ceftriaxone,Ceftriaxone,500mg,Injection,1 Vial,HONIG PHARMACEUTICALS LABORATORIES DML: 000550,290.03,"01 Jul, 2024",50760,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
