search_term,product_name,registration_number,manufacturer,category,pack_size,price,price_text,effective_from,scraped_at,source
Ibuprofen,IBUPROFEN 400mg TABLET Each tablet contains:-Ibuprofen ………………………...… 400 mg,008727,MS SIZA INTERNATIONAL PVT LTD. DML: 000259,Essential Drugs,"25*10,s",903.63,Rs 903.63,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen 400mg/4ml Injection,119680,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,4ml x 10's,1982.68,"Rs 1,982.68","25 Aug, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen 800mg/8ml Injection,121577,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,1's,417.19,Rs 417.19,"25 Aug, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen 800mg/8ml Injection,121577,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,10's,4004.62,"Rs 4,004.62","25 Aug, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Oral Suspension Ibuprofen 100mg Suspension,071547,Paradise Pharma DML: 000742,Essential Drugs,450ml,480.62,Rs 480.62,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Oral Suspension Ibuprofen 100mg Suspension,071547,Paradise Pharma DML: 000742,Essential Drugs,90ml,98.44,Rs 98.44,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Oral Suspension Ibuprofen 100mg Suspension,071547,Paradise Pharma DML: 000742,Essential Drugs,60ml,63.7,Rs 63.70,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Suspension (100mg/5ml),077270,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,90ml,82.4,Rs 82.40,"25 Aug, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Suspension (100mg/5ml),077270,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,120ml,135.5,Rs 135.50,"25 Aug, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Suspension (100mg/5ml),077270,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,450ml,351.52,Rs 351.52,"25 Aug, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,IBUPROFEN Tablet 200mg Each Tablet contains:Ibuprofen …………..200mg,009309,Geofman Pharmaceuticals DML: 000090,Low Price Drugs,50x10's,1032.72,"Rs 1,032.72","23 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,IBUPROFEN Tablet 400mg Each Tablet contains:Ibuprofen …………..400mg,009308,Geofman Pharmaceuticals DML: 000090,Essential Drugs,25 x 10's,929.55,Rs 929.55,"23 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Tablets (Ibuprofen BP) 400mg,007694,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,Essential Drugs,25 x 10's,913.13,Rs 913.13,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Tablets (Ibuprofen BP) 400mg,007694,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,Low Price Drugs,25's,55.76,Rs 55.76,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Tablets (Ibuprofen BP) 400mg,007694,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,Essential Drugs,250's,913.13,Rs 913.13,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Tablets (Ibuprofen BP) 200mg,007693,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,Essential Drugs,30's,122.3,Rs 122.30,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Tablets (Ibuprofen BP) 200mg,007693,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,Essential Drugs,50 x 10's,2025.54,"Rs 2,025.54","27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,Ibuprofen Tablets (Ibuprofen BP) 200mg,007693,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,Low Price Drugs,500's,1149.81,"Rs 1,149.81","27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Cefixime,Omixim Capsule 200mg (Cefixime) Each capsule contains Cefixime (as trihydrate) 200mg,062442,The Searle Company Limited DML: 000647,Essential Drugs,10's,646.45,Rs 646.45,"23 Jul, 2026",2026-09-12 02:28:20,https://e.dra.gov.pk/public/price
Cefixime,Omixim Capsule 400mg (Cefixime) Each capsule contains Cefixime (as trihydrate) 400mg,062441,The Searle Company Limited DML: 000647,Essential Drugs,5's,592.03,Rs 592.03,"23 Jul, 2026",2026-09-12 02:28:20,https://e.dra.gov.pk/public/price
Cefixime,Omixim Suspension 100mg (Cefixime) Each 5ml contains Cefixime (as trihydrate) 100mg,062443,The Searle Company Limited DML: 000647,Essential Drugs,30ml,330.38,Rs 330.38,"23 Jul, 2026",2026-09-12 02:28:20,https://e.dra.gov.pk/public/price
Cefixime,Stork 100mg/5ml DSEach 5ml reconsituted suspension Contains:Cefixime (as Trihydrate)…..100mg Each 5ml reconsituted suspension Contains:Cefixime (as Trihydrate)…..200mg,121416,UniMark Pharmaceuticals Pvt. Ltd. DML: 000557,Essential Drugs,30ml,330.39,Rs 330.39,"20 Aug, 2026",2026-09-12 02:28:20,https://e.dra.gov.pk/public/price
Ceftriaxone,Ceftriaxone (as Sodium)500mg (IM) Inj Seftrix injection 500mg I.MEach vial Contains:Ceftriaxone (as Sodium) …..500mg(USP Spec.),086387,Pharma Lord (Pvt) Ltd DML: 000774,Essential Drugs,1's,346.15,Rs 346.15,"27 Jul, 2026",2026-09-12 02:28:26,https://e.dra.gov.pk/public/price
Ceftriaxone,Tefno Injection 1gm IM (Ceftriaxone) Each vial contains Ceftriaxone as Sodium 1g,090325,The Searle Company Limited DML: 000647,Essential Drugs,1's,662.97,Rs 662.97,"23 Jul, 2026",2026-09-12 02:28:26,https://e.dra.gov.pk/public/price
Ceftriaxone,Tefno Injection 250mg IM (Ceftriaxone) Each vial contains Ceftriaxone as Sodium 250mg,090323,The Searle Company Limited DML: 000647,Essential Drugs,1's,208.6,Rs 208.60,"23 Jul, 2026",2026-09-12 02:28:26,https://e.dra.gov.pk/public/price
Ceftriaxone,Tefno Injection 250mg IV (Ceftriaxone) Each vial contains Ceftriaxone Sodium eq. to Ceftriaxone 250mg,062440,The Searle Company Limited DML: 000647,Essential Drugs,1's,208.6,Rs 208.60,"23 Jul, 2026",2026-09-12 02:28:26,https://e.dra.gov.pk/public/price
Ceftriaxone,Tefno Injection 500mg IM (Ceftriaxone) Each vial contains Ceftriaxone as Sodium 500mg,090324,The Searle Company Limited DML: 000647,Essential Drugs,1's,351.11,Rs 351.11,"23 Jul, 2026",2026-09-12 02:28:26,https://e.dra.gov.pk/public/price
Ceftriaxone,Tefno Injection 500mg IV (Ceftriaxone) Each vial contains Ceftriaxone Sodium eq. to Ceftriaxone 500mg,062439,The Searle Company Limited DML: 000647,Essential Drugs,1's,351.11,Rs 351.11,"23 Jul, 2026",2026-09-12 02:28:26,https://e.dra.gov.pk/public/price
Ceftriaxone,Tefno Injection1gm IV (Ceftriaxone) Each vial contains Ceftriaxone Sodium eq. to Ceftriaxone 1g,062438,The Searle Company Limited DML: 000647,Essential Drugs,1's,662.97,Rs 662.97,"23 Jul, 2026",2026-09-12 02:28:27,https://e.dra.gov.pk/public/price
Clarithromycin,Claraze 250 mg TabletEach Tablet contains:Clarithromycin 250 mg Claraze 250 mg TabletEach Tablet contains:Clarithromycin 250 mg,073446,Sante (Private) Limited DML: 000702,Essential Drugs,10's,526.21,Rs 526.21,"27 Jul, 2026",2026-09-12 02:28:33,https://e.dra.gov.pk/public/price
Clarithromycin,Claraze 500 mg TabletEach Tablet contains:Clarithromycin 500 mg Claraze 500 mg TabletEach Tablet contains:Clarithromycin 500 mg,073447,Sante (Private) Limited DML: 000702,Essential Drugs,10's,919.08,Rs 919.08,"27 Jul, 2026",2026-09-12 02:28:33,https://e.dra.gov.pk/public/price
Clarithromycin,CLARITHROMYCIN 250mg tabs clarithromycin 250mg / tab,045151,Adamjee Pharmaceuticals (Pvt) Ltd DML: 000236,Essential Drugs,10's,488.71,Rs 488.71,"20 Aug, 2026",2026-09-12 02:28:33,https://e.dra.gov.pk/public/price
Clarithromycin,CLARITHROMYCIN 500mg tabs clarithromycin 500mg / tab,045152,Adamjee Pharmaceuticals (Pvt) Ltd DML: 000236,Essential Drugs,10's,906.14,Rs 906.14,"20 Aug, 2026",2026-09-12 02:28:33,https://e.dra.gov.pk/public/price
